pdl_company,consumer_city,consumer_state,tribe_name,tribe_city,tribe_state,tribe_lat,tribe_lng,consumer_lat,consumer_lng
Plain Green,ALBANY,GA,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,31.57760367,-84.17632408
Plain Green,ALBANY,GA,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,31.57760367,-84.17632408
Plain Green,TUCSON,AZ,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.15690153,-110.8775061
Plain Green,TUCSON,AZ,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.15690153,-110.8775061
Plain Green,Eastman,GA,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.19521386,-83.17597147
Plain Green,WARNER ROBINS,GA,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.5970961,-83.653936
Plain Green,Desoto,TX,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.59926194,-96.86327204
Plain Green,FORT WORTH,TX,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.7795423,-97.3463354
Plain Green,FORT WORTH,TX,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.7795423,-97.3463354
Plain Green,FORT WORTH,TX,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.7795423,-97.3463354
Plain Green,Dallas,TX,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.79464486,-96.76633721
Plain Green,EL CAJON,CA,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.7947731,-116.9625269
Plain Green,Macon,GA,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.83205682,-83.64960509
Plain Green,irving,TX,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.85838081,-96.97030583
Plain Green,FARMERS BRANCH,TX,Chippewa-Cree Tribe of Rocky Boy Montana,Box Elder,MT,48.32304969,-110.0176641,32.92717751,-96.88042382
